Time (UTC);Open;High;Low;Close
29.04.2022 10:00;1,05778;1,0578;1,05614;1,05645
29.04.2022 11:00;1,05645;1,05789;1,05397;1,05445
29.04.2022 12:00;1,05444;1,05471;1,05096;1,05313
29.04.2022 13:00;1,05312;1,05413;1,05221;1,05337
29.04.2022 14:00;1,05336;1,05593;1,05184;1,05467
29.04.2022 15:00;1,05468;1,05543;1,05328;1,05402
29.04.2022 16:00;1,05401;1,05498;1,05324;1,05493
29.04.2022 17:00;1,05491;1,05786;1,05486;1,05725
29.04.2022 18:00;1,05726;1,05746;1,05634;1,05697
29.04.2022 19:00;1,05698;1,05698;1,05452;1,05485
29.04.2022 20:00;1,05485;1,0552;1,05408;1,05409
01.05.2022 21:00;1,05444;1,05597;1,05422;1,05453
01.05.2022 22:00;1,05454;1,0552;1,05368;1,0543
01.05.2022 23:00;1,05427;1,05492;1,05343;1,05349
02.05.2022 00:00;1,05347;1,0553;1,05264;1,05291
02.05.2022 01:00;1,05292;1,05333;1,05213;1,05244
02.05.2022 02:00;1,05243;1,05275;1,05178;1,05209
02.05.2022 03:00;1,05209;1,05274;1,05173;1,05239
02.05.2022 04:00;1,05239;1,05242;1,05168;1,05184
02.05.2022 05:00;1,05183;1,05211;1,05104;1,05129
02.05.2022 06:00;1,05129;1,05517;1,051;1,05483
02.05.2022 07:00;1,05482;1,05682;1,05317;1,05321
02.05.2022 08:00;1,05324;1,0536;1,05253;1,05285
02.05.2022 09:00;1,05285;1,05329;1,05187;1,05266
02.05.2022 10:00;1,05269;1,05289;1,05197;1,05262
02.05.2022 11:00;1,05262;1,05278;1,05137;1,05163
02.05.2022 12:00;1,05162;1,05327;1,05083;1,05105
02.05.2022 13:00;1,05107;1,05279;1,05027;1,05233
02.05.2022 14:00;1,05238;1,05415;1,05147;1,05223
02.05.2022 15:00;1,05223;1,05237;1,0504;1,05215
02.05.2022 16:00;1,05213;1,05262;1,05023;1,05091
02.05.2022 17:00;1,05091;1,05106;1,04928;1,0493
02.05.2022 18:00;1,04933;1,04994;1,04901;1,04919
02.05.2022 19:00;1,04919;1,05113;1,04912;1,05039
02.05.2022 20:00;1,05039;1,05084;1,05013;1,05055
02.05.2022 21:00;1,05055;1,05079;1,05018;1,05049
02.05.2022 22:00;1,05049;1,05134;1,05046;1,05098
02.05.2022 23:00;1,05098;1,05107;1,05058;1,05096
03.05.2022 00:00;1,05095;1,05257;1,05084;1,05251
03.05.2022 01:00;1,05249;1,05265;1,05147;1,0522
03.05.2022 02:00;1,05221;1,05256;1,05097;1,05136
03.05.2022 03:00;1,05136;1,05193;1,05077;1,05184
03.05.2022 04:00;1,05184;1,05239;1,05016;1,05018
03.05.2022 05:00;1,05016;1,05105;1,04977;1,05074
03.05.2022 06:00;1,05073;1,05123;1,04962;1,04974
03.05.2022 07:00;1,04976;1,05277;1,04941;1,05187
03.05.2022 08:00;1,05185;1,05257;1,04999;1,04999
03.05.2022 09:00;1,05;1,0514;1,04921;1,05135
